"","Species","colony_id","Light_Value","Run","micromol.cm2.s","micromol.cm2.h","timepoint"
"239","Diploria labyrinthiformis","Dlab-D7","124",21,-0.000350714358824976,-1.26257169176992,"timepoint1"
"240","Diploria labyrinthiformis","Dlab-D7","165",21,-0.000308848956329262,-1.11185624278534,"timepoint1"
"241","Diploria labyrinthiformis","Dlab-D7","233",21,-0.000242769142825368,-0.873968914171324,"timepoint1"
"242","Diploria labyrinthiformis","Dlab-D7","289",21,-0.000241793618267486,-0.870457025762948,"timepoint1"
"243","Diploria labyrinthiformis","Dlab-D7","32",21,-0.000528281069971997,-1.90181185189919,"timepoint1"
"244","Diploria labyrinthiformis","Dlab-D7","341",21,-0.000225434988406673,-0.811565958264021,"timepoint1"
"245","Diploria labyrinthiformis","Dlab-D7","413",21,-0.000199476787325221,-0.718116434370797,"timepoint1"
"246","Diploria labyrinthiformis","Dlab-D7","517",21,-0.000139818410039264,-0.503346276141349,"timepoint1"
"247","Diploria labyrinthiformis","Dlab-E1","0",3,-0.000230679971947715,-0.830447899011774,"timepoint1"
"248","Diploria labyrinthiformis","Dlab-E1","124",3,7.95833925779495e-05,0.286500213280618,"timepoint1"
"249","Diploria labyrinthiformis","Dlab-E1","165",3,0.00020213818441685,0.72769746390066,"timepoint1"
"250","Diploria labyrinthiformis","Dlab-E1","233",3,0.000356516930270122,1.28346094897244,"timepoint1"
"251","Diploria labyrinthiformis","Dlab-E1","289",3,0.000241671553871415,0.870017593937092,"timepoint1"
"252","Diploria labyrinthiformis","Dlab-E1","32",3,-0.00013433704838432,-0.483613374183551,"timepoint1"
"253","Diploria labyrinthiformis","Dlab-E1","341",3,0.000366092901041733,1.31793444375024,"timepoint1"
"254","Diploria labyrinthiformis","Dlab-E1","413",3,0.00038072241560693,1.37060069618495,"timepoint1"
